glottocode,daltonism,n_colors,exists_blue,subsistence,stage,L1,macroarea,macroarea2,longitude,latitude,altitude,log_popSize,glottocode_family,latitude_family,longitude_family,macro_family,genetic_incomplete,genetic_full
abua1244,2.13,5,no,AGR,999,Abua,Africa,Africa,6.615,4.831,18,10.13,atla1278,8.75,8.25,Niger-Congo,,Edo
acol1236,2.61,6,no,AGR,999,Acoli,Africa,Africa,32.515,3.577,845,13.97,nilo1247,4.75,29.75,Nilo-Saharan,,Luhya
ainu1240,1.18,4,no,HG,3a,Ainu (Hokkaido),Eurasia,Asia,142.462,43.634,301,2.3,ainu1252,43.63,142.46,Ainu,,Hezhe
alba1267,7.4,11,yes,AGR,7,Albanian,Eurasia,Europe,20,41,299,22.84,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
alge1239,6.56,11,yes,AGR,7,Arabic (Algerian),Africa,Africa,3.23,35.421,749,17.07,afro1255,8.67,8.08,Afro-Asiatic,Arabs,Arabs
amha1245,3.2,10,yes,AGR,7,Amharic,Africa,Africa,39.543,11.708,2750,16.89,afro1255,8.67,8.08,Afro-Asiatic,,Somali
anga1288,0,12,no,AGR,7,Angami Naga,Eurasia,Asia,93.867,25.684,718,11.79,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed
mesc1238,2.5,7,no,HG,999,Apache ,North America,North America,254.434,33.129,2479,7.31,atha1245,53.75,236.5,Na-Dene,Amerindians,Amerindians
stan1318,5.35,11,yes,AGR,7,Arabic (Standard),Eurasia,Asia,43.853,27.963,620,19.14,afro1255,8.67,8.08,Afro-Asiatic,Arabs,Arabs
nucl1235,5.43,7,yes,AGR,5,Armenian (Eastern),Eurasia,Asia,45,40,2527,14.96,indo1319,34,71.55,Indo-European,,Turks
assa1263,1.41,11,yes,AGR,7,Assamese,Eurasia,Asia,91.293,26.088,45,16.37,indo1319,34,71.55,Indo-European,Kachari,Kachari
assy1241,6,9,yes,AGR,999,Neo-Aramaic (Assyrian),Eurasia,Asia,43,36.75,481,10.31,afro1255,8.67,8.08,Afro-Asiatic,,Iraqi
awng1244,3.03,3,no,AGR,2,Agaw,Africa,Africa,36.692,10.982,2086,13.1,afro1255,8.67,8.08,Afro-Asiatic,,Somali
cent2142,5.66,7,yes,AGR,999,Aymara (Central),South America,South America,291.5,-17,4175,14.56,ayma1253,-17,291.5,Aymaran,Peruvian,Peruvian
kara1465,4.2,8,yes,AGR,6,Karachay-Balkar,Eurasia,Asia,42.261,43.565,2039,12.63,turk1311,56,125,Altaic,,Khanty
basq1248,4.3,11,yes,AGR,7,Basque,Eurasia,Europe,-1.32,43.28,214,19.52,basq1248,43.28,-1.32,Basque,Basque,Basque
bela1254,8.7,7,yes,AGR,999,Belarusian,Eurasia,Europe,25.604,53.231,203,15.72,indo1319,34,71.55,Indo-European,Russians,Russians
krio1252,2.33,11,yes,AGR,7,Kriol,Australia,Australia,137.669,-18.135,203,8.34,indo1319,34,71.55,Indo-European,Afro.Caribbeans,Afro.Caribbeans
bhil1251,0.7,7,no,AGR,999,Bhili,Eurasia,Asia,73.959,20.85,710,15.01,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
biet1238,4.94,4,no,AGR,3a,Biete,Eurasia,Asia,92.943,24.274,301,9.85,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed
bulg1262,6.45,11,yes,AGR,7,Bulgarian,Eurasia,Europe,25.047,43.365,97,15.55,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
yuec1235,4,11,yes,AGR,7,Cantonese,Eurasia,Asia,113,23,4,17.77,sino1245,26.1,94.75,Sino-Tibetan,Han,Han
cham1312,3.25,6,no,AGR,5,Chamorros,Papunesia,Papunesia,144.745,13.438,41,11.04,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians
mand1415,5.66,10,yes,AGR,7,Mandarin Chinese,Eurasia,Asia,116.228,40.021,54,20.55,sino1245,26.1,94.75,Sino-Tibetan,Han,Han
chot1239,6.5,4,no,AGR,3a,Chothe,Eurasia,Asia,94.241,24.372,819,8.19,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed
chuv1255,5.16,6,yes,AGR,5,Chuvash,Eurasia,Asia,47.163,55.487,148,13.86,turk1311,56,125,Altaic,Chuvash,Chuvash
czec1258,10.5,11,yes,AGR,7,Czech,Eurasia,Europe,15.104,49.873,424,16.04,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
dani1285,6.36,9,yes,AGR,7,Danish,Eurasia,Europe,9.363,54.866,41,15.51,indo1319,34,71.55,Indo-European,Danes,Danes
dubl1239,2.75,5,no,AGR,4,Dubli,Eurasia,Asia,73.218,21.516,56,12.44,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
dutc1256,4.95,11,yes,AGR,7,Dutch,Eurasia,Europe,5,52,0,16.61,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
stan1293,5.09,11,yes,AGR,7,English,Eurasia,Europe,-1,53,57,17.88,indo1319,34,71.55,Indo-European,British,British
erzy1239,7.77,6,yes,AGR,5,Erzya,Eurasia,Europe,45.39,52.855,218,12.98,ural1272,68,30,Uralic,,Chuvash
peno1244,7.04,5,no,AGR,4,Peñoles Mixtec,North America,North America,262.99,17.067,2132,8.61,otom1299,17.67,262.58,Oto-Manguean,Mexicans,Mexicans
west2369,2.63,11,yes,AGR,7,Farsi (Western),Eurasia,Asia,55.159,28.659,1951,17.62,indo1319,34,71.55,Indo-European,Iranian,Iranian
fiji1243,0.4,5,no,AGR,999,Fijian,Papunesia,Papunesia,178.33,-18,172,12.71,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians
taga1270,4.28,7,yes,AGR,999,Tagalog,Papunesia,Papunesia,121.747,14.06,203,16.88,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians
finn1318,8.21,11,yes,AGR,7,Finnish,Eurasia,Europe,25.558,64.763,15,15.36,ural1272,68,30,Uralic,Finns,Finns
stan1290,6.8,11,yes,AGR,7,French,Eurasia,Europe,2,48,130,17.8,indo1319,34,71.55,Indo-European,French,French
pula1263,1.3,6,no,AGR,999,Pulaar,Africa,Africa,-13.448,13.869,40,14.82,atla1278,8.75,8.25,Niger-Congo,,Hausa
scot1245,6.58,10,yes,AGR,7,Gaelic (Scottish),Eurasia,Europe,-5.244,56.757,162,10.98,indo1319,34,71.55,Indo-European,Orcadian,Orcadian
gami1242,2.72,5,no,AGR,4,Gamit,Eurasia,Asia,73.684,21.07,277,12.56,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
stan1295,6.37,11,yes,AGR,7,German,Eurasia,Europe,12.468,48.649,441,18.14,indo1319,34,71.55,Indo-European,Germans,Germans
pare1266,1.33,5,no,AGR,4,Gorum-Parenga,Eurasia,Asia,83.972,19.075,576,0,aust1305,14.83,100.5,Austro-Asiatic,Thoti,Thoti
mode1248,5.75,9,yes,AGR,7,Greek (Modern),Eurasia,Europe,24.87,42.322,208,16.19,indo1319,34,71.55,Indo-European,Greeks,Greeks
guja1252,5.08,12,yes,AGR,7,Gujarati,Eurasia,Asia,71.096,22.687,100,17.64,indo1319,34,71.55,Indo-European,Gujarati,Gujarati
gusi1247,0,7,no,AGR,999,Gusii,Africa,Africa,34.768,-0.789,1750,14.61,atla1278,8.75,8.25,Niger-Congo,Bantu.speakers,Bantu.speakers
hadz1240,1.42,4,no,HG,3a,Hadza,Africa,Africa,35.05,-3.83,1280,9.97,hadz1240,-3.83,35.05,Hadza,,Sandawe
hakk1236,5.58,10,yes,AGR,7,Hakka Chinese,Eurasia,Asia,116,25,409,17.06,sino1245,26.1,94.75,Sino-Tibetan,Hakka,Hakka
haus1257,1.76,4,no,AGR,3a,Hausa,Africa,Africa,8.78,11.151,595,16.73,afro1255,8.67,8.08,Afro-Asiatic,Hausa,Hausa
hind1269,3.72,9,yes,AGR,6,Hindi,Eurasia,Asia,77,25,408,19.37,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
hung1274,3.82,11,yes,AGR,7,Hungarian,Eurasia,Europe,19.656,46.907,116,16.07,ural1272,68,30,Uralic,Hungarian,Hungarian
kala1399,5.41,5,no,HG,4,Inuktitut (Kalaallisut),Eurasia,Asia,307.136,69.376,115,10.82,eski1264,63.69,189.52,Eskimo-Aleut,Greenlander,Greenlander
nort2945,1.11,7,yes,HG,5,Eskimo (Inupiaq),North America,North America,198.193,64.78,4,8.63,eski1264,63.69,189.52,Eskimo-Aleut,,Hezhe
ital1282,3.82,11,yes,AGR,7,Italian,Eurasia,Europe,12.649,43.046,738,17.82,indo1319,34,71.55,Indo-European,Italians,Italians
teso1249,4.87,7,yes,AGR,6,Teso,Africa,Africa,33.939,1.183,1098,14.27,nilo1247,4.75,29.75,Nilo-Saharan,,Luhya
nucl1643,4.3,10,yes,AGR,7,Japanese,Eurasia,Asia,135,35,312,18.61,japo1237,37,140,Japanese,Japanese,Japanese
hebr1245,6.68,11,yes,AGR,7,Hebrew (Modern),Eurasia,Asia,35.018,31.106,459,15.39,afro1255,8.67,8.08,Afro-Asiatic,Jews..Ashkenazi,Jews..Ashkenazi
jola1263,2.11,7,yes,AGR,999,Jola-Fonyi,Africa,Africa,-15.735,12.758,43,12.74,atla1278,8.75,8.25,Niger-Congo,,Malinke
kaba1278,3.5,6,no,AGR,999,Kabardian,Eurasia,Asia,43.392,43.508,990,13.15,abkh1242,43.06,41.16,Abkhaz-Adyge,Adygei,Adygei
kaya1330,0.28,6,no,HG,999,Kayapó,South America,South America,308.326,-7.774,461,8.87,nucl1710,-11,310,Nuclear-Macro-Je,,Karitiana
dhan1264,1.8,5,no,AGR,4,Dhanki,Eurasia,Asia,73.742,20.772,402,11.84,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
chig1238,3.9,6,yes,AGR,999,Chiga,Africa,Africa,29.912,-1.044,1988,14.27,atla1278,8.75,8.25,Niger-Congo,,Luhya
kiku1240,0.28,7,no,AGR,999,Kikuyu,Africa,Africa,36.719,-0.29,2787,15.71,atla1278,8.75,8.25,Niger-Congo,Bantu.speakers,Bantu.speakers
kili1267,1.61,5,no,AGR,4,Kilivila,Papunesia,Papunesia,151.072,-8.726,6,9.9,aust1307,23.76,120.98,Austronesian,Papuan.New.Guinean,Papuan.New.Guinean
komi1268,2.85,5,yes,AGR,999,Komi-Zyrian,Eurasia,Asia,54.946,64.053,175,11.96,ural1272,68,30,Uralic,Komi.Zyrian,Komi.Zyrian
komi1269,7.1,5,yes,AGR,999,Komi-Permyak,Eurasia,Asia,54.796,59.66,162,11.05,ural1272,68,30,Uralic,Komi.Zyrian,Komi.Zyrian
konk1267,5,10,yes,AGR,7,Konkani (Maharashtrian),Eurasia,Asia,73.917,19.241,717,14.7,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
kore1280,3.21,11,yes,AGR,7,Korean,Eurasia,Asia,128,37.5,330,17.55,kore1284,37.5,128,Koreanic,Koreans,Koreans
krah1246,1.9,2,no,AGR,1,Krahô,South America,South America,312.423,-8.012,228,7.55,nucl1710,-11,310,Nuclear-Macro-Je,,Karitiana
kurd1259,3.2,10,yes,AGR,6,Kurdish,Eurasia,Asia,45.81,35.65,1326,24.25,indo1319,34,71.55,Indo-European,,Iranian
laca1243,3.6,5,no,AGR,4,Lacandon,North America,North America,268.577,17.021,624,6.33,maya1287,15.42,268.17,Mayan,Mexicans,Mexicans
latv1249,9.32,11,yes,AGR,7,Latvian,Eurasia,Europe,24.309,56.826,24,14.2,indo1319,34,71.55,Indo-European,,Russians
ling1263,1.7,3,no,AGR,2,Lingala (Kinshasa),Africa,Africa,19.783,1.403,343,14.53,atla1278,8.75,8.25,Niger-Congo,,Zaramo
